"","ID","site","clone","clone.new","row","col","F1","F2","F23","F24","F24.segment_L","F24.segment_P","F24.segment","X24.GCC","X24.RCC","F25","F25.segment_P","F25.segment_L","F25.segment","X25.GCC","X25.RCC"
"36","H1x36","H","93","93","1","36","3",3,2,4,0.294500002,0.318697318,0.30659866,0.481913982,0.32794172,4,0.413372397,0.345545514,0.379458955,0.471536809,0.350842202
"83","H2x36","H","86","86","2","36","3",2,2,4,0.245692209,0.198452736,0.222072473,0.480509101,0.325757958,4,0.409550948,0.412142793,0.410846871,0.471959476,0.357193404
"130","H3x36","H","39","102","3","36","1",3,2,3,0.333969324,0.415724986,0.374847155,0.484699187,0.318352261,5,0.489505602,0.422965033,0.456235318,0.460796647,0.345062741
"177","H4x36","H","75","75","4","36","1",2,1,2,0.031932561,0.019878072,0.025905316,0.443952462,0.335865737,4,0.333235153,0.246657027,0.28994609,0.45324152,0.379528485
"224","H5x36","H","69","69","5","36","1",3,2,3,0.280115303,0.228405995,0.254260649,0.484705084,0.328707901,4,0.427221809,0.372924034,0.400072922,0.476665131,0.364365179
"271","H6x36","H","70","94","6","36","1",3,2,3,0.176253723,0.15575597,0.166004847,0.465738617,0.326038224,3,0.170312065,0.169245126,0.169778595,0.480918156,0.341326422
"318","H7x36","H","64","64","7","36","2",3,2,2,0.177223123,0.140904293,0.159063708,0.455976408,0.330847891,4,0.331022649,0.321563025,0.326292837,0.46919957,0.358770176
"365","H8x36","H","61","54","8","36","2",3,2,1,0.040082379,0.036454867,0.038268623,0.463963047,0.360017318,2,0.112456703,0.15456978,0.133513241,0.446899562,0.390104964
"412","H9x36","H","92","92","9","36","0",1,1,3,0.081505312,0.111321154,0.096413233,0.45148692,0.338195627,2,0.154015033,0.105223205,0.129619119,0.456127062,0.36541019
"459","H10x36","H","79","79","10","36","2",3,2,3,0.383924986,0.429864499,0.406894742,0.463349151,0.323175231,4,0.496919754,0.445255032,0.471087393,0.487407662,0.369948773
"506","H11x36","H","48","48","11","36","1",1,1,2,0.128536829,0.144660143,0.136598486,0.452049783,0.343717597,3,0.2723248,0.203685714,0.238005257,0.459437778,0.357419933
"37","H1x37","H","71","86","1","37","2",2,2,3,0.230253816,0.202997506,0.216625661,0.471672678,0.328225858,4,0.38887715,0.438555752,0.413716451,0.466206716,0.347619804
"84","H2x37","H","50","103","2","37","1",2,1,3,0.152900789,0.14268643,0.14779361,0.478652507,0.330430234,3,0.281704933,0.280310104,0.281007518,0.46207031,0.360001291
"131","H3x37","H","38","79","3","37","2",3,3,3,0.429495087,0.336679175,0.383087131,0.488579164,0.323361912,4,0.412463705,0.398850645,0.405657175,0.470171321,0.35168155
"178","H4x37","H","82","82","4","37","2",2,2,3,0.218550794,0.272942201,0.245746497,0.479287281,0.314080319,4,0.392980407,0.319757128,0.356368768,0.463069849,0.332459051
"225","H5x37","H","76","79","5","37","1",3,2,3,0.394891678,0.364234477,0.379563077,0.488995026,0.331618089,4,0.470477523,0.409223562,0.439850543,0.479749796,0.367392066
"272","H6x37","H","35","35","6","37","1",2,1,2,0.076944737,0.07705122,0.076997979,0.46517545,0.335140613,2,0.149888712,0.131950998,0.140919855,0.450234989,0.346631824
"319","H7x37","H","62","62","7","37","1",2,1,3,0.197658058,0.145845314,0.171751686,0.458281446,0.328541707,4,0.367031518,0.353669726,0.360350622,0.467066038,0.3560322
"366","H8x37","H","40","40","8","37","3",3,3,3,0.362425474,0.300798909,0.331612192,0.484830872,0.319675318,4,0.444579116,0.438408223,0.44149367,0.486496693,0.342173339
"413","H9x37","H","80",NA,"9","37","3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","H10x37","H","63","63","10","37","1",3,1,3,0.135027596,0.150578509,0.142803053,0.433720693,0.322858085,3,0.251761452,0.207819634,0.229790543,0.447356687,0.363881199
"507","H11x37","H","23","23","11","37","3",3,3,4,0.394745468,0.38647579,0.390610629,0.46797165,0.333295777,4,0.491370997,0.479915366,0.485643181,0.476015639,0.344697004
"38","H1x38","H","60","60","1","38","3",3,3,4,0.35120677,0.290077932,0.320642351,0.479898455,0.324992927,4,0.483586607,0.511012735,0.497299671,0.478399811,0.337381075
"85","H2x38","H","74","74","2","38","1",2,2,4,0.33052891,0.072865909,0.20169741,0.475114257,0.323193678,3,0.262312751,0.312382428,0.28734759,0.468139649,0.362159035
"132","H3x38","H","53","52","3","38","1",2,1,2,0.282633681,0.269496,0.27606484,0.473516583,0.317482227,3,0.323337705,0.275491264,0.299414485,0.45244364,0.345674941
"179","H4x38","H","89","89","4","38","3",3,2,3,0.144474523,0.16927079,0.156872657,0.457660392,0.313857486,4,0.375491066,0.339610185,0.357550625,0.462433782,0.345070686
"226","H5x38","H","78","78","5","38","1",2,2,3,0.242805836,0.220404987,0.231605412,0.468985858,0.328871179,3,0.361013373,0.292305551,0.326659462,0.457731621,0.359935068
"273","H6x38","H","52","52","6","38","1",3,1,3,0.203258934,0.151214192,0.177236563,0.470584,0.337754041,4,0.317267209,0.332421573,0.324844391,0.468695854,0.36506092
"320","H7x38","H","83","83","7","38","3",3,3,4,0.318597382,0.298319956,0.308458669,0.472052242,0.325277534,5,0.420773675,0.450373475,0.435573575,0.47249765,0.350541224
"367","H8x38","H","66","66","8","38","1",2,1,3,0.283113825,0.23883891,0.260976367,0.477639797,0.327451957,3,0.296715053,0.327953616,0.312334335,0.463360428,0.360673085
"414","H9x38","H","81","81","9","38","2",3,2,3,0.192124062,0.16796502,0.180044541,0.44682062,0.329251324,4,0.363747354,0.340375346,0.35206135,0.474689438,0.364537017
