"","ID","site","clone","row","col","VS_24","FR_24","GCC_24","RCC_24","VS_25","FR_25","GCC_25","RCC_25"
"810","L8x34","L","unique_genotype_12","8","34",NA,NA,NA,NA,4,0.391717023,0.442702772,0.353168751
"847","L9x34","L","69","9","34",NA,NA,NA,NA,4,0.399136442,0.468095086,0.342368627
"884","L10x34","L","72","10","34",NA,NA,NA,NA,4,0.376671624,0.466872164,0.344443454
"552","L1x35","L","L9","1","35",NA,NA,NA,NA,2,0.165114435,0.438490196,0.342228078
"589","L2x35","L","65","2","35",NA,NA,NA,NA,4,0.385418411,0.466391333,0.338060278
"626","L3x35","L","80","3","35",NA,NA,NA,NA,3,0.304965913,0.447848703,0.352860077
"663","L4x35","L","32","4","35",NA,NA,NA,NA,2,0.198459248,0.443400442,0.352257685
"700","L5x35","L","74","5","35",NA,NA,NA,NA,3,0.33575932,0.452608976,0.345103317
"737","L6x35","L","73","6","35",NA,NA,NA,NA,4,0.227855976,0.447958882,0.340598199
"774","L7x35","L","89","7","35",NA,NA,NA,NA,3,0.321706831,0.446927004,0.351802567
"811","L8x35","L","90","8","35",NA,NA,NA,NA,2,0.125801014,0.429901963,0.362515634
"848","L9x35","L","90","9","35",NA,NA,NA,NA,2,0.17515562,0.441497119,0.344272173
"885","L10x35","L","76","10","35",NA,NA,NA,NA,3,0.29889745,0.459474748,0.342652757
"553","L1x36","L","L12","1","36",NA,NA,NA,NA,4,0.426460488,0.471474363,0.35344369
"590","L2x36","L","35","2","36",NA,NA,NA,NA,3,0.27597881,0.456648437,0.334613521
"627","L3x36","L","78","3","36",NA,NA,NA,NA,5,0.370938119,0.45760687,0.350718934
"664","L4x36","L","61","4","36",NA,NA,NA,NA,4,0.313545579,NA,NA
"701","L5x36","L","unique_genotype_7","5","36",NA,NA,NA,NA,3,0.329452341,0.460746238,0.348744145
"738","L6x36","L","33","6","36",NA,NA,NA,NA,4,0.444609321,0.466557162,0.349333012
"775","L7x36","L","L12","7","36",NA,NA,NA,NA,4,0.514960089,0.466766807,0.375154002
"812","L8x36","L","48","8","36",NA,NA,NA,NA,2,0.165422763,0.423881449,0.355593872
"849","L9x36","L","80","9","36",NA,NA,NA,NA,3,0.301869857,0.450763477,0.344162152
"886","L10x36","L","L6","10","36",NA,NA,NA,NA,4,0.552277081,0.480287805,0.333854999
"554","L1x37","L","69","1","37",NA,NA,NA,NA,3,0.398996731,0.467471683,0.33832242
"591","L2x37","L","92","2","37",NA,NA,NA,NA,2,0.19989595,0.439994408,0.346656927
"628","L3x37","L","80","3","37",NA,NA,NA,NA,4,0.367967299,0.471284276,0.349533692
"665","L4x37","L","80","4","37",NA,NA,NA,NA,3,0.253805123,0.457019436,0.349604896
"702","L5x37","L","77","5","37",NA,NA,NA,NA,5,0.470630422,0.465472713,0.330373634
"739","L6x37","L","32","6","37",NA,NA,NA,NA,3,0.210587179,0.441878027,0.349907596
"776","L7x37","L","60","7","37",NA,NA,NA,NA,5,0.548398089,0.465586463,0.343226011
"813","L8x37","L","27","8","37",NA,NA,NA,NA,3,0.272420873,0.446041022,0.358991011
"850","L9x37","L","77","9","37",NA,NA,NA,NA,5,0.571927105,0.460184268,0.329429226
"887","L10x37","L","73","10","37",NA,NA,NA,NA,3,0.445468371,0.465231452,0.345787134
