"","ID","site","clone","row","col","VS_24","FR_24","GCC_24","RCC_24","VS_25","FR_25","GCC_25","RCC_25"
"1","H1x1","H","25","1","1",3,0.180532592,0.446382067,0.322667331,3,0.296784691,0.448176545,0.340962041
"48","H2x1","H","90","2","1",1,0.016661405,0.457603286,0.337564407,2,0.112224105,0.451321443,0.359664407
"95","H3x1","H","88","3","1",3,0.20425636,0.459935202,0.32141055,3,0.419139172,0.453416721,0.349272083
"142","H4x1","H","82","4","1",3,0.085924689,0.465399026,0.323886133,3,0.315016106,0.449677206,0.356501218
"189","H5x1","H","81","5","1",3,0.115330443,0.467704181,0.328839016,2,0.269175139,0.452517458,0.347984445
"236","H6x1","H",NA,"6","1",NA,NA,NA,NA,NA,NA,NA,NA
"283","H7x1","H","71","7","1",3,0.252805126,0.489456879,0.348412054,3,0.278405915,0.47058717,0.36801124
"330","H8x1","H","92","8","1",2,0.081929606,0.45726785,0.3370535,2,0.120702584,0.449578984,0.365009733
"377","H9x1","H","80","9","1",2,0.077067509,0.449793514,0.339171571,1,0.096975545,0.448326273,0.362772595
"424","H10x1","H","49","10","1",3,0.090444899,0.452412966,0.333982268,1,0.065246287,0.445972422,0.357969867
"471","H11x1","H","25","11","1",4,0.226129677,0.450218889,0.325948996,3,0.325951622,0.456596658,0.337235507
"2","H1x2","H","88","1","2",2,0.08172617,0.444684717,0.324348872,3,0.337289203,0.450348189,0.341764625
"49","H2x2","H","32","2","2",2,0.135510071,0.472367364,0.335025761,1,0.083251173,0.449437574,0.348804773
"96","H3x2","H","78","3","2",4,0.173991418,0.467481796,0.329468481,3,0.337585809,0.451015475,0.348167018
"143","H4x2","H","49","4","2",1,0.027190337,0.460458283,0.329338404,1,0.075601621,0.448986178,0.346919058
"190","H5x2","H","83","5","2",3,0.202038979,0.472533422,0.326261028,2,0.200456383,0.448424468,0.3497326
"237","H6x2","H","94","6","2",3,0.144707775,0.467737746,0.326414446,3,0.203742179,0.471013837,0.35017046
"284","H7x2","H","93","7","2",4,0.357269666,0.487744234,0.34327611,3,0.320274351,0.4669712,0.336625424
"331","H8x2","H","52","8","2",3,0.254094421,0.47651061,0.329854342,3,0.317187681,0.463555136,0.342812137
"378","H9x2","H","101","9","2",3,0.273009482,0.465004624,0.323257831,2,0.125222898,0.457916373,0.349104564
"425","H10x2","H","33","10","2",4,0.274136706,0.454794282,0.32657794,4,0.351373857,0.473901678,0.353553277
"472","H11x2","H","28","11","2",4,0.250296623,0.450074848,0.317576964,3,0.457748141,0.466473689,0.321970894
"3","H1x3","H","38","1","3",2,0.038025317,0.435761789,0.324408784,1,0.014146925,0.431445989,0.327614138
"50","H2x3","H",NA,"2","3",NA,NA,NA,NA,NA,NA,NA,NA
"97","H3x3","H","49","3","3",2,0.066177577,0.458255037,0.328979443,2,0.118623927,0.446101011,0.347098782
"144","H4x3","H","59","4","3",2,0.046805032,0.462286333,0.322956816,1,0.102546626,0.437789135,0.326723309
"191","H5x3","H","38","5","3",1,0.026449787,0.451106579,0.320289177,0,0.013061196,0.43379454,0.334511525
"238","H6x3","H","68","6","3",4,0.438297912,0.478774729,0.320538803,4,0.385618275,0.468290301,0.350783775
"285","H7x3","H","63","7","3",2,0.131443898,0.459630433,0.333101398,3,0.2356366,0.448404374,0.3258426
"332","H8x3","H","87","8","3",3,0.276587842,0.485131525,0.333679507,4,0.402831355,0.473655742,0.360864537
"379","H9x3","H","90","9","3",2,0.059399135,0.462831994,0.32786177,1,0.038543083,0.445847626,0.344689239
"426","H10x3","H","61","10","3",3,0.179684908,0.462969365,0.33136967,3,0.291932797,0.466468764,0.359437767
"473","H11x3","H","48","11","3",2,0.114695523,0.449074698,0.334803453,2,0.165069067,0.446512423,0.327328305
"4","H1x4","H","28","1","4",3,0.213299301,0.478173431,0.32834359,4,0.490749473,0.475857261,0.346946002
"51","H2x4","H","86","2","4",3,0.211669193,0.466446183,0.321414301,3,0.382653693,0.459556036,0.356133258
"98","H3x4","H","64","3","4",3,0.162643694,0.459708748,0.328149081,3,0.393824109,0.456230175,0.356199021
"145","H4x4","H","92","4","4",1,0.009630879,0.467291924,0.326915918,2,0.112778679,0.445597145,0.354928945
"192","H5x4","H","92","5","4",2,0.043541201,0.466378089,0.325588809,1,0.063897451,0.445766353,0.337542225
"239","H6x4","H","80","6","4",2,0.029781186,0.443079623,0.323670425,3,0.123175568,0.458435935,0.35520205
"286","H7x4","H","44","7","4",3,0.307016778,0.473806976,0.327038608,3,0.30101604,0.458805148,0.33529509
"333","H8x4","H","79","8","4",3,0.365139534,0.48108075,0.326135174,4,0.445473867,0.477425781,0.360333517
"380","H9x4","H","39","9","4",3,0.33260226,0.468043452,0.318870659,3,0.319614569,0.462698455,0.351302982
"427","H10x4","H","66","10","4",3,0.183721929,0.443506376,0.3218101,3,0.222234144,0.451833333,0.347153254
"474","H11x4","H","36","11","4",4,0.356197593,0.455251491,0.316053227,3,0.440023558,0.469904181,0.321694216
"5","H1x5","H","80","1","5",2,0.095831795,0.44297469,0.316518702,2,0.258088716,0.460912903,0.36218821
"52","H2x5","H","35","2","5",1,0.065909228,0.465668117,0.330174232,2,0.222218048,0.451046103,0.351746663
"99","H3x5","H","54","3","5",4,0.239700705,0.470503227,0.326994425,4,0.402486063,0.461871946,0.33892058
