"","ID","site","clone","row","col","VS_24","FR_24","GCC_24","RCC_24","VS_25","FR_25","GCC_25","RCC_25"
"146","H4x5","H","40","4","5",4,0.28543016,0.48356168,0.312027785,4,0.385764017,0.469187652,0.336440334
"193","H5x5","H","34","5","5",3,0.214954329,0.468408576,0.333680612,NA,NA,NA,NA
"240","H6x5","H","77","6","5",5,0.309987641,0.464660054,0.321061196,5,0.310581244,0.464003314,0.327862776
"287","H7x5","H","71","7","5",4,0.302739042,0.483142698,0.342045979,4,0.400513922,0.475280996,0.360933529
"334","H8x5","H","47","8","5",3,0.234192788,0.477691735,0.325983961,3,0.284624739,0.467107419,0.36268825
"381","H9x5","H","93","9","5",4,0.340998503,0.471830366,0.32204709,3,0.286921689,0.46588667,0.352876935
"428","H10x5","H","43","10","5",3,0.086495995,0.451130166,0.330724239,2,0.110490139,0.449727476,0.361391677
"475","H11x5","H","48","11","5",2,0.062986438,0.458966648,0.34207996,1,0.104641942,0.451849867,0.339960962
"6","H1x6","H","54","1","6",4,0.197463531,0.462587189,0.330283577,4,0.405746806,0.462019588,0.358074191
"53","H2x6","H","89","2","6",3,0.12201969,0.458632515,0.321526022,3,0.338625938,0.455229096,0.349264481
"100","H3x6","H","83","3","6",4,0.293006356,0.473299162,0.316527986,5,0.492210916,0.461873056,0.319251864
"147","H4x6","H","84","4","6",2,0.086681995,0.460740155,0.328854442,3,0.22553497,0.457754217,0.339120624
"194","H5x6","H","30","5","6",3,0.251337512,0.469034143,0.314755008,3,0.303403863,0.448116246,0.342571328
"241","H6x6","H","55","6","6",3,0.26503893,0.463451521,0.343209625,3,0.200153134,0.439538985,0.340379469
"288","H7x6","H","43","7","6",3,0.100861707,0.444875649,0.353877862,1,0.080204045,0.441604576,0.365713688
"335","H8x6","H","71","8","6",4,0.375723275,0.491309197,0.338073925,4,0.335377744,0.473747419,0.374158123
"382","H9x6","H","48","9","6",2,0.09545692,0.446561949,0.332097042,2,0.063419818,0.446469734,0.341227081
"429","H10x6","H","75","10","6",2,0.087951726,0.434594387,0.335678192,2,0.174051875,0.452605972,0.363206929
"476","H11x6","H","60","11","6",4,0.329717914,0.475923219,0.332920361,4,0.42820401,0.477925277,0.340197317
"7","H1x7","H","85","1","7",2,0.101259738,0.478252573,0.339164717,2,0.195997958,0.461072142,0.366252027
"54","H2x7","H","54","2","7",4,0.248496772,0.462155578,0.326868358,4,0.405933337,0.457700573,0.357650776
"101","H3x7","H","32","3","7",2,0.087355314,0.454821121,0.330130367,3,0.264170623,0.454716095,0.367065495
"148","H4x7","H","49","4","7",2,0.05318072,0.454556299,0.326769649,2,0.099716007,0.437240041,0.32794152
"195","H5x7","H","23","5","7",3,0.291041216,0.480197432,0.32849256,3,0.326174735,0.457920292,0.356840942
"242","H6x7","H",NA,"6","7",NA,NA,NA,NA,NA,NA,NA,NA
"289","H7x7","H","25","7","7",3,0.152003941,0.4536813,0.331711296,3,0.226687152,0.448285926,0.35667157
"336","H8x7","H","102","8","7",3,0.223351769,0.464609258,0.324710165,3,0.233743266,0.454731743,0.346346779
"383","H9x7","H","83","9","7",5,0.385788868,0.467602561,0.313489436,5,0.439140987,0.474248809,0.346195633
"430","H10x7","H","104","10","7",3,0.162997201,0.447630271,0.331054095,2,0.137073116,0.44791045,0.341798882
"477","H11x7","H","76","11","7",2,0.06931104,0.449745979,0.324939682,2,0.055135915,0.452092385,0.328367763
"8","H1x8","H","48","1","8",1,0.047823913,0.463250157,0.340574727,1,0.063745551,0.456743202,0.355334861
"55","H2x8","H","75","2","8",3,0.112030066,0.461968225,0.335936674,3,0.383092932,0.465961746,0.368455547
"102","H3x8","H","28","3","8",3,0.230108726,0.47691862,0.332429325,4,0.410313034,0.460863536,0.361923479
"149","H4x8","H","33","4","8",4,0.221560375,0.46757841,0.321998238,4,0.463331149,0.463038538,0.320463806
"196","H5x8","H","43","5","8",2,0.07883334,0.470493387,0.348387628,3,0.128227972,0.454246535,0.349889302
"243","H6x8","H","49","6","8",2,0.061848005,0.448391405,0.335382318,1,0.054933241,0.444442435,0.343435115
"290","H7x8","H","52","7","8",3,0.098231317,0.449065874,0.339836985,3,0.246029683,0.452573959,0.36687309
"337","H8x8","H","45","8","8",3,0.191862312,0.473591052,0.342848787,2,0.148915763,0.459000336,0.366365723
"384","H9x8","H","73","9","8",2,0.116811186,0.448544715,0.339960589,1,0.059808242,0.459929134,0.364114099
"431","H10x8","H","52","10","8",3,0.269466146,0.457951025,0.337822586,3,0.286793348,0.466196091,0.348889794
"478","H11x8","H","64","11","8",3,0.197916359,0.447519968,0.322271671,3,0.33836998,0.45557376,0.339353443
"9","H1x9","H",NA,"1","9",NA,NA,NA,NA,NA,NA,NA,NA
"56","H2x9","H","43","2","9",3,0.125204812,0.469544843,0.330832558,2,0.128085077,0.44867862,0.350621518
"103","H3x9","H","71","3","9",4,0.367773196,0.490207066,0.328258307,3,0.177162611,0.448827799,0.365507428
"150","H4x9","H","68","4","9",4,0.32193007,0.479919212,0.316214867,4,0.514266994,0.466552163,0.320751535
"197","H5x9","H","67","5","9",2,0.142739611,0.471918935,0.335764487,3,0.363227819,0.455977537,0.353013691
"244","H6x9","H","82","6","9",3,0.104134908,0.45433918,0.32725294,3,0.285537278,0.451283194,0.350972491
"291","H7x9","H","101","7","9",2,0.153318883,0.467864922,0.348271915,3,0.189489978,0.457664182,0.347108307
"338","H8x9","H","49","8","9",2,0.049061967,0.454901805,0.338405542,1,0.048312593,0.447082539,0.345405488
"385","H9x9","H","70","9","9",4,0.317970748,0.458275021,0.324648216,4,0.329151914,0.478595052,0.348266147
"432","H10x9","H","35","10","9",2,0.171604929,0.455428951,0.327957437,3,0.222130227,0.450641849,0.336520256
"479","H11x9","H","90","11","9",3,0.086488801,0.453469992,0.326269026,2,0.055531165,0.438152773,0.33056198
"10","H1x10","H","38","1","10",1,0.029515793,0.457410629,0.337320867,0,0.00895819,0.443634595,0.33650626
"57","H2x10","H","75","2","10",2,0.160830474,0.467986676,0.341763484,3,0.336678653,0.462584758,0.361058671
"104","H3x10","H","69","3","10",3,0.224090272,0.477845068,0.328102039,3,0.30823195,0.460087073,0.351472008
"151","H4x10","H","66","4","10",3,0.157216652,0.469245596,0.324822341,3,0.202105652,0.44885728,0.349960496
"198","H5x10","H","81","5","10",3,0.1175723,0.473769485,0.334885544,3,0.230910897,0.45705675,0.346717518
"245","H6x10","H","61","6","10",2,0.164499331,0.467899038,0.347259668,3,0.287793604,0.460512481,0.367269744
"292","H7x10","H","38","7","10",3,0.092946794,0.442809774,0.329959922,1,0.034277286,0.431932286,0.32473993
"339","H8x10","H","86","8","10",4,0.299747286,0.467729969,0.319203677,3,0.33902784,0.459481401,0.349824115
"386","H9x10","H","89","9","10",3,0.179475233,0.442774024,0.317162917,3,0.270413875,0.44982743,0.323916107
"433","H10x10","H","89","10","10",3,0.16455726,0.44185043,0.324816724,3,0.331237592,0.466436061,0.337930693
"480","H11x10","H","47","11","10",4,0.19171531,0.453634199,0.335982892,3,0.256379356,0.461224748,0.343667533
"11","H1x11","H","90","1","11",1,0.038594893,0.469318881,0.336971626,1,0.052682074,0.45499538,0.340643437
"58","H2x11","H","47","2","11",2,0.141978623,0.464264106,0.330624618,3,0.275294345,0.457373301,0.349960559
"105","H3x11","H","88","3","11",1,0.035674389,0.437685557,0.331984943,3,0.244269082,0.443455017,0.34747072
"152","H4x11","H","68","4","11",4,0.385144135,0.486569216,0.316393844,4,0.454241519,0.466382776,0.354537251
"199","H5x11","H","76","5","11",2,0.20926894,0.458732283,0.37092492,2,0.20833642,0.448229641,0.372095857
"246","H6x11","H","72","6","11",2,0.055549148,0.460238363,0.342875802,2,0.048266601,0.453300604,0.359365006
"293","H7x11","H","26","7","11",3,0.186835955,0.467629693,0.338202469,4,0.46880331,0.469989293,0.330160507
"340","H8x11","H","80","8","11",3,0.218368465,0.465886685,0.331316042,3,0.302671229,0.462796801,0.354544161
"387","H9x11","H","79","9","11",3,0.303739747,0.462468962,0.329562742,3,0.358852626,0.457374104,0.34152562
"434","H10x11","H","40","10","11",4,0.329753399,0.459726262,0.322741392,4,0.393931587,0.483343135,0.329480441
"481","H11x11","H","71","11","11",4,0.38968476,0.46339578,0.331477526,4,0.418480912,0.471607473,0.344399754
"12","H1x12","H","43","1","12",2,0.066014173,0.466200972,0.332760503,2,0.124629704,0.452528963,0.339145767
"59","H2x12","H","70","2","12",3,0.318602017,0.485376014,0.332046934,4,0.369862695,0.479848309,0.361245214
"106","H3x12","H","93","3","12",3,0.252479563,0.475819674,0.333371806,3,0.233934713,0.448180352,0.350180167
"153","H4x12","H","92","4","12",2,0.120006814,0.467337415,0.329012161,2,0.081483081,0.437334486,0.326374164
"200","H5x12","H","83","5","12",4,0.281861606,0.475685855,0.317744578,5,0.46381875,0.468310243,0.329763084
"247","H6x12","H","94","6","12",3,0.332229705,0.480008904,0.333519996,4,0.171428202,0.474906921,0.340182051
"294","H7x12","H","93","7","12",4,0.454359115,0.484896956,0.326412815,4,0.38600809,0.47189901,0.352921439
"341","H8x12","H",NA,"8","12",NA,NA,NA,NA,NA,NA,NA,NA
"388","H9x12","H","78","9","12",3,0.138945696,0.485985835,0.329673508,3,0.187611318,0.447172269,0.355935902
"435","H10x12","H","71","10","12",4,0.353197213,0.465217339,0.33376425,3,0.321738913,0.467482254,0.343907402
"482","H11x12","H","52","11","12",4,0.236486781,0.452406735,0.339399535,3,0.330423375,0.461711273,0.339707968
"13","H1x13","H","38","1","13",2,0.082041905,0.450547061,0.329131266,1,0.023166579,0.436383764,0.329924549
"60","H2x13","H","87","2","13",3,0.17867686,0.45821484,0.339278571,3,0.453653718,0.465914153,0.367251013
"107","H3x13","H","25","3","13",4,0.31738184,0.477535891,0.335374839,4,0.280549197,0.453044905,0.354722552
"154","H4x13","H","63","4","13",2,0.117625176,0.460540469,0.32701331,3,0.209676507,0.438630696,0.338574932
"201","H5x13","H","32","5","13",3,0.184262854,0.472932755,0.330204188,2,0.203329055,0.450819555,0.340011428
"248","H6x13","H","89","6","13",2,0.133156995,0.462415257,0.325219045,4,0.405716192,0.471755219,0.353795219
"295","H7x13","H",NA,"7","13",0,0.062483773,0.444083515,0.366399504,NA,NA,NA,NA
"342","H8x13","H","49","8","13",2,0.027121684,0.466898585,0.339167176,1,0.023097213,0.459515063,0.35339828
"389","H9x13","H","30","9","13",4,0.329414598,0.465561454,0.326915577,3,0.3242358,0.45991751,0.343383695
"436","H10x13","H","77","10","13",5,0.359309414,0.455744808,0.324334509,5,0.299958921,0.462976651,0.332525279
"483","H11x13","H","25","11","13",4,0.109494322,0.425775414,0.335597413,3,0.282631368,0.442548784,0.360244681
"14","H1x14","H","64","1","14",2,0.11255837,0.455429604,0.336420197,3,0.314336279,0.463215062,0.35113326
"61","H2x14","H","79","2","14",3,0.254878367,0.472262932,0.33182861,3,0.451651358,0.460353448,0.348243555
"108","H3x14","H","26","3","14",4,0.331574614,0.478686968,0.327355662,4,0.448907387,0.474396866,0.343070116
"155","H4x14","H","45","4","14",2,0.115792218,0.479083697,0.342269805,2,0.133675716,0.459039974,0.364211329
"202","H5x14","H","30","5","14",4,0.375047778,0.467981854,0.314757267,4,0.503040535,0.461136325,0.326373328
"249","H6x14","H","33","6","14",3,0.160649429,0.462931624,0.328298594,4,0.413732461,0.47685034,0.348295667
"296","H7x14","H","36","7","14",4,0.351251271,0.471410656,0.326257686,4,0.36858212,0.465882703,0.350122159
"343","H8x14","H","49","8","14",2,0.075915454,0.458656386,0.339776873,1,0.048951408,0.450251923,0.351902438
"390","H9x14","H","28","9","14",2,0.067005647,0.457779441,0.350752094,0,0.172456798,0.444679495,0.405651745
"437","H10x14","H","55","10","14",3,0.358407081,0.471152074,0.341116754,3,0.271894998,0.4660335,0.373844796
"484","H11x14","H","85","11","14",3,0.146565777,0.442268183,0.325408155,3,0.160708096,0.457912099,0.362274492
"15","H1x15","H","34","1","15",3,0.183794579,0.465219061,0.346376623,3,0.274600829,0.446548312,0.376134049
"62","H2x15","H","77","2","15",5,0.328916087,0.491649264,0.328674583,5,0.454623243,0.464196089,0.345391859
"109","H3x15","H","58","3","15",3,0.237840848,0.472495439,0.323425436,3,0.284096663,0.44880456,0.36322305
"156","H4x15","H","40","4","15",3,0.23558704,0.479927597,0.313134944,4,0.441757083,0.477167983,0.337382636
"203","H5x15","H","85","5","15",2,0.070687646,0.469655626,0.334149156,3,0.176704698,0.452409091,0.33531059
"250","H6x15","H","54","6","15",3,0.228146533,0.471104368,0.334651094,4,0.368377874,0.460283779,0.339567909
"297","H7x15","H","85","7","15",1,0.058318076,0.465784771,0.367209268,0,0.088021576,0.451797287,0.395697983
"344","H8x15","H","64","8","15",2,0.113213584,0.452592917,0.3359216,3,0.234269642,0.45316167,0.35430931
"391","H9x15","H","38","9","15",2,0.043930321,0.445306828,0.334671874,0,0.01886211,0.440550449,0.356080403
"438","H10x15","H","87","10","15",3,0.226074902,0.446876016,0.327311185,4,0.373304326,0.460994078,0.343979322
"485","H11x15","H","104","11","15",3,0.224069675,0.454503022,0.33061487,3,0.157955516,0.461941714,0.360672661
"16","H1x16","H","78","1","16",3,0.160058815,0.457496699,0.326560065,4,0.339245715,0.458158486,0.344118564
"63","H2x16","H","55","2","16",4,0.342347538,0.482590374,0.338149173,4,0.348098954,0.454848624,0.370903442
"110","H3x16","H","84","3","16",2,0.142830674,0.468713868,0.328969381,3,0.383160566,0.465817505,0.355052217
"157","H4x16","H","84","4","16",3,0.220925903,0.473851289,0.322077521,4,0.388331808,0.465154824,0.335843726
"204","H5x16","H","104","5","16",2,0.094052964,0.475074701,0.340567127,2,0.130593932,0.448857639,0.344112319
"251","H6x16","H","52","6","16",3,0.141197227,0.458254418,0.334954214,3,0.247389658,0.441348055,0.342198076
"298","H7x16","H","L3","7","16",2,0.016186914,0.435233266,0.331382662,1,0.043792459,0.432476639,0.335352232
"345","H8x16","H","70","8","16",3,0.210953531,0.4679706,0.324998758,3,0.296344353,0.466829623,0.338581165
"392","H9x16","H","75","9","16",2,0.176469893,0.45034356,0.334770404,2,0.120127965,0.456437705,0.343807817
"439","H10x16","H","79","10","16",3,0.327359766,0.456612534,0.333205114,3,0.383557022,0.468747376,0.339071246
"486","H11x16","H","73","11","16",4,0.350723702,0.46763131,0.325373558,3,0.233966805,0.465670611,0.365736544
"17","H1x17","H","49","1","17",2,0.087478733,0.450989571,0.324612183,2,0.161152392,0.450342403,0.338111314
"64","H2x17","H","59","2","17",2,0.081183179,0.448212687,0.327756359,2,0.140849283,0.434254079,0.344213254
"111","H3x17","H","83","3","17",5,0.32227445,0.493425558,0.327421104,5,0.449368517,0.467765502,0.345257008
"158","H4x17","H","35","4","17",2,0.0904815,0.461080777,0.323744691,2,0.181313003,0.446964183,0.334948078
"205","H5x17","H","38","5","17",1,0.006115581,0.450686012,0.318817423,0,0.104749336,0.417863242,0.347515915
"252","H6x17","H","63","6","17",3,0.175352902,0.461797135,0.328165516,3,0.304737037,0.450573376,0.34472168
"299","H7x17","H","46","7","17",2,0.201380613,0.462222448,0.329894703,3,0.256799895,0.452202414,0.34626287
"346","H8x17","H",NA,"8","17",NA,NA,NA,NA,NA,NA,NA,NA
"393","H9x17","H","61","9","17",3,0.222197576,0.446164905,0.321368382,3,0.324915895,0.457412882,0.357088197
"440","H10x17","H","68","10","17",4,0.336087118,0.45317991,0.316845021,4,0.385141449,0.46449395,0.335563251
"487","H11x17","H",NA,"11","17",NA,NA,NA,NA,NA,NA,NA,NA
"18","H1x18","H","77","1","18",4,0.183166151,0.473207532,0.344038506,5,0.373300285,0.459643867,0.353450153
"65","H2x18","H","84","2","18",3,0.220117422,0.473305922,0.329385098,3,0.332999372,0.464566761,0.35414719
"112","H3x18","H","81","3","18",4,0.175229487,0.479810846,0.325582444,3,0.242605331,0.460830354,0.352815484
"159","H4x18","H","86","4","18",3,0.21068877,0.464813287,0.314796435,4,0.435992106,0.462843488,0.335199562
"206","H5x18","H","69","5","18",3,0.181195145,0.468435664,0.320060653,4,0.50359301,0.474604083,0.33048765
"253","H6x18","H","66","6","18",3,0.193806891,0.470352817,0.327884709,3,0.263414638,0.458147851,0.326357692
"300","H7x18","H","48","7","18",2,0.073472982,0.446922745,0.337052655,1,0.065499662,0.453074541,0.354376767
"347","H8x18","H","38","8","18",2,0.022464401,0.44376596,0.32491113,1,0.036811541,0.429449663,0.346201405
"394","H9x18","H","93","9","18",4,0.256445201,0.456672965,0.321140596,3,0.271013026,0.456406294,0.350805612
"441","H10x18","H","75","10","18",2,0.055646053,0.432946937,0.32304021,3,0.165766543,0.45334741,0.360819717
"488","H11x18","H","83","11","18",4,0.422570456,0.465584044,0.310219359,5,0.471146461,0.481155218,0.346326709
"19","H1x19","H","93","1","19",4,0.276860229,0.475479884,0.335616968,4,0.327961927,0.469076061,0.352788605
"66","H2x19","H","49","2","19",2,0.105592784,0.461261848,0.322256129,2,0.079371012,0.435997252,0.34528694
"113","H3x19","H","67","3","19",3,0.219962889,0.478960998,0.338741111,4,0.369690369,0.464768804,0.370184032
"160","H4x19","H","49","4","19",2,0.110342387,0.471994161,0.335667236,1,0.06059554,0.45030077,0.341757546
"207","H5x19","H","32","5","19",3,0.102676224,0.46205558,0.337505069,3,0.25383903,0.453517387,0.356340173
"254","H6x19","H","82","6","19",3,0.160475938,0.464315676,0.327355906,4,0.347666557,0.455020292,0.32931268
"301","H7x19","H","25","7","19",3,0.109929158,0.442414331,0.32897783,3,0.159806791,0.43863777,0.345308283
"348","H8x19","H","102","8","19",2,0.054133568,0.458944759,0.337616215,2,0.147675294,0.450655434,0.356657938
"395","H9x19","H","70","9","19",3,0.228469562,0.475680688,0.322628541,4,0.170510253,0.493826816,0.341605487
"442","H10x19","H","72","10","19",2,0.084930475,0.441000525,0.331058172,2,0.066165789,0.44212241,0.347374097
"489","H11x19","H","85","11","19",2,0.071444951,0.436568389,0.329541009,3,0.097726572,0.456156647,0.347010423
"20","H1x20","H","88","1","20",3,0.148718963,0.449138027,0.325230089,3,0.412240868,0.45927419,0.34394358
"67","H2x20","H","92","2","20",2,0.080259003,0.452450646,0.326119281,2,0.076968887,0.436993132,0.348772632
"114","H3x20","H","28","3","20",3,0.324383235,0.480196821,0.325797684,4,0.446951363,0.473009926,0.340830576
"161","H4x20","H","61","4","20",3,0.296124604,0.478947742,0.323036521,3,0.295778989,0.453690784,0.343634228
"208","H5x20","H","36","5","20",4,0.278471464,0.486361291,0.338230286,4,0.420902717,0.455416769,0.355384111
"255","H6x20","H","49","6","20",2,0.119703528,0.458309512,0.327944681,2,0.147486077,0.448745588,0.356402723
"302","H7x20","H","26","7","20",3,0.348863981,0.469700837,0.326745008,4,0.508723027,0.476189957,0.348888012
"349","H8x20","H","47","8","20",4,0.3396367,0.479822876,0.32478538,4,0.339140308,0.464172871,0.350018899
"396","H9x20","H","60","9","20",1,0.032395698,0.444952623,0.337444694,0,0.022562063,0.418410153,0.385311376
"443","H10x20","H","94","10","20",3,0.21604447,0.450843062,0.328918059,3,0.405565331,0.477021951,0.337339997
"490","H11x20","H","28","11","20",4,0.333387402,0.464391911,0.328931877,4,0.459085833,0.479633013,0.356575027
"21","H1x21","H","71","1","21",4,0.375971367,0.486133129,0.329329105,3,0.449393441,0.471902906,0.348918956
"68","H2x21","H","72","2","21",2,0.147091481,0.465515291,0.328122631,2,0.096839171,0.444233975,0.354146809
"115","H3x21","H","101","3","21",1,0.089301124,0.477084823,0.347473651,2,0.200111139,0.460824641,0.368223437
"162","H4x21","H","68","4","21",4,0.362299202,0.486212517,0.315597515,3,0.448674881,0.465158912,0.3370075
"209","H5x21","H","38","5","21",2,0.064847809,0.457825137,0.326316058,1,0.022155991,0.436021827,0.335964354
"256","H6x21","H","68","6","21",3,0.140329283,0.466189603,0.317328803,3,0.306609223,0.460154057,0.355111824
"303","H7x21","H","49","7","21",1,0.02248377,0.443175449,0.33482103,2,0.112173989,0.442921696,0.360169551
"350","H8x21","H","59","8","21",2,0.047492426,0.456927122,0.332107155,2,0.191400648,0.451441375,0.364251925
"397","H9x21","H","92","9","21",2,0.184361729,0.43701447,0.322337424,1,0.034677311,0.442446091,0.353185071
"444","H10x21","H","49","10","21",2,0.06715126,0.443506103,0.321983251,1,0.030527649,0.446257755,0.345741583
"491","H11x21","H","23","11","21",3,0.270443716,0.446090338,0.321382665,3,0.433070861,0.465574477,0.32992883
"22","H1x22","H","60","1","22",3,0.159623849,0.479425972,0.333909347,4,0.401775422,0.477190737,0.346238847
"69","H2x22","H","94","2","22",3,0.158590921,0.461501432,0.328086386,4,0.354978284,0.46479474,0.361815485
"116","H3x22","H","93","3","22",4,0.374686875,0.482858047,0.327236549,3,0.323957487,0.460213018,0.348654449
"163","H4x22","H","33","4","22",4,0.256539788,0.481133159,0.321395294,4,0.455052711,0.477794797,0.335514746
"210","H5x22","H","30","5","22",3,0.294293226,0.46342067,0.318766307,4,0.361838654,0.453585042,0.356404716
"257","H6x22","H","76","6","22",2,0.122215194,0.470865315,0.332499499,2,0.183942261,0.463631676,0.349687382
"304","H7x22","H","73","7","22",4,0.311404156,0.479452004,0.32986425,3,0.341573769,0.470988767,0.359253108
"351","H8x22","H","89","8","22",3,0.205103091,0.473543785,0.335815429,3,0.392972609,0.476274107,0.362832817
"398","H9x22","H","88","9","22",2,0.153737561,0.436796989,0.320284356,4,0.360936927,0.461800737,0.35691478
"445","H10x22","H","92","10","22",1,0.058861571,0.4503818,0.327231471,2,0.043546649,0.449566668,0.351459743
"492","H11x22","H","47","11","22",3,0.259981423,0.452308027,0.328956578,3,0.343547968,0.460469108,0.344166701
"23","H1x23","H","62","1","23",3,0.096831935,0.458006146,0.329750204,2,0.229161931,0.453947529,0.345485108
"70","H2x23","H","82","2","23",3,0.260069871,0.469664733,0.314881899,4,0.414612674,0.45859461,0.345767682
"117","H3x23","H","38","3","23",2,0.050732954,0.446381848,0.323457914,1,0.04163386,0.428973745,0.339358475
"164","H4x23","H","87","4","23",4,0.308017426,0.473749706,0.327094,3,0.357076561,0.457385349,0.354920524
"211","H5x23","H","58","5","23",3,0.140490738,0.46170232,0.318001646,4,0.237050193,0.448681652,0.362337092
"258","H6x23","H","47","6","23",4,0.316764364,0.476178919,0.319535749,3,0.341215069,0.456664938,0.341141137
"305","H7x23","H","80","7","23",3,0.259314842,0.454438618,0.32439553,3,0.284874874,0.454214282,0.351498318
